1	69	防禦+	3	0	0	8.0%	0.0%	0.0%	1		2	69	防禦+	2	0	0	8.0%	0.0%	0.0%	1		3	69	防禦+	2	0	0	8.0%	0.0%	0.0%	1		4	69	防禦+	1	0	0	8.0%	0.0%	0.0%	1		5	69	防禦+	1	0	0	8.0%	0.0%	0.0%	1		6	69	防禦+	1	0	0	8.0%	0.0%	0.0%	1		13	69	防禦+	1	0	0	9.8%	0.0%	0.0%	1
1	73	防禦+	9	10	11	2.4%	4.0%	1.6%	5		2	73	防禦+	6	7	8	2.4%	4.0%	1.6%	5		3	73	防禦+	7	8	9	2.4%	4.0%	1.6%	5		4	73	防禦+	5	6	7	2.4%	4.0%	1.6%	5		5	73	防禦+	4	5	6	2.4%	4.0%	1.6%	5		6	73	防禦+	2	3	4	2.4%	4.0%	1.6%	3		13	73	防禦+	2	3	4	2.9%	4.9%	2.0%	3
1	74	防禦+	18	19	20	2.4%	4.0%	1.6%	10		2	74	防禦+	14	15	16	2.4%	4.0%	1.6%	10		3	74	防禦+	11	12	13	2.4%	4.0%	1.6%	8		4	74	防禦+	8	9	10	2.4%	4.0%	1.6%	7		5	74	防禦+	6	7	8	2.4%	4.0%	1.6%	6		6	74	防禦+	4	5	6	2.4%	4.0%	1.6%	5		13	74	防禦+	4	5	6	2.9%	4.9%	2.0%	5
1	75	防禦+	27	29	31	1.2%	2.0%	0.8%	15		2	75	防禦+	20	22	24	1.2%	2.0%	0.8%	14		3	75	防禦+	18	19	20	1.2%	2.0%	0.8%	12		4	75	防禦+	12	13	14	1.2%	2.0%	0.8%	10		5	75	防禦+	10	11	12	1.2%	2.0%	0.8%	9		6	75	防禦+	6	7	8	1.2%	2.0%	0.8%	7		13	75	防禦+	6	7	8	1.5%	2.5%	1.0%	7
1	76	防禦+	36	38	40	1.2%	2.0%	0.8%	20		2	76	防禦+	28	30	32	1.2%	2.0%	0.8%	18		3	76	防禦+	22	24	26	1.2%	2.0%	0.8%	16		4	76	防禦+	16	18	20	1.2%	2.0%	0.8%	14		5	76	防禦+	12	14	16	1.2%	2.0%	0.8%	12		6	76	防禦+	8	10	12	1.2%	2.0%	0.8%	10		13	76	防禦+	8	10	12	1.5%	2.5%	1.0%	10
1	59	防禦-	-6	0	0	4.0%	0.0%	0.0%	-3		2	59	防禦-	-6	0	0	4.0%	0.0%	0.0%	-3		3	59	防禦-	-6	0	0	4.0%	0.0%	0.0%	-3		4	59	防禦-	-6	0	0	4.0%	0.0%	0.0%	-3		5	59	防禦-	-6	0	0	4.0%	0.0%	0.0%	-3		6	59	防禦-	-6	0	0	4.0%	0.0%	0.0%	-3		13	59	防禦-	-6	0	0	4.9%	0.0%	0.0%	-3
1	60	防禦-	-12	0	0	4.0%	0.0%	0.0%	-5		2	60	防禦-	-12	0	0	4.0%	0.0%	0.0%	-5		3	60	防禦-	-12	0	0	4.0%	0.0%	0.0%	-5		4	60	防禦-	-12	0	0	4.0%	0.0%	0.0%	-5		5	60	防禦-	-12	0	0	4.0%	0.0%	0.0%	-5		6	60	防禦-	-12	0	0	4.0%	0.0%	0.0%	-5		13	60	防禦-	-12	0	0	4.9%	0.0%	0.0%	-5
1	94	火耐性+	1	2	0	0.6%	2.4%	0.0%	2		2	94	火耐性+	1	2	0	0.6%	2.4%	0.0%	2		3	94	火耐性+	1	2	0	0.6%	2.4%	0.0%	2		4	94	火耐性+	1	2	0	0.6%	2.4%	0.0%	2		5	94	火耐性+	1	2	0	0.6%	2.4%	0.0%	2		6	94	火耐性+	1	2	0	0.6%	2.4%	0.0%	2		13	94	火耐性+	1	2	0	0.8%	3.1%	0.0%	2
1	89	火耐性-	-1	-2	0	0.4%	1.4%	0.0%	-2		2	89	火耐性-	-1	-2	0	0.4%	1.4%	0.0%	-2		3	89	火耐性-	-1	-2	0	0.4%	1.4%	0.0%	-2		4	89	火耐性-	-1	-2	0	0.4%	1.4%	0.0%	-2		5	89	火耐性-	-1	-2	0	0.4%	1.4%	0.0%	-2		6	89	火耐性-	-1	-2	0	0.4%	1.4%	0.0%	-2		13	89	火耐性-	-1	-2	0	0.5%	1.9%	0.0%	-2
1	90	火耐性-	-3	0	0	1.2%	0.0%	0.0%	-3		2	90	火耐性-	-3	0	0	1.2%	0.0%	0.0%	-3		3	90	火耐性-	-3	0	0	1.2%	0.0%	0.0%	-3		4	90	火耐性-	-3	0	0	1.2%	0.0%	0.0%	-3		5	90	火耐性-	-3	0	0	1.2%	0.0%	0.0%	-3		6	90	火耐性-	-3	0	0	1.2%	0.0%	0.0%	-3		13	90	火耐性-	-3	0	0	1.6%	0.0%	0.0%	-3
1	104	水耐性+	1	2	0	0.6%	2.4%	0.0%	2		2	104	水耐性+	1	2	0	0.6%	2.4%	0.0%	2		3	104	水耐性+	1	2	0	0.6%	2.4%	0.0%	2		4	104	水耐性+	1	2	0	0.6%	2.4%	0.0%	2		5	104	水耐性+	1	2	0	0.6%	2.4%	0.0%	2		6	104	水耐性+	1	2	0	0.6%	2.4%	0.0%	2		13	104	水耐性+	1	2	0	0.8%	3.1%	0.0%	2
